"DeviceName","DeviceDescription","ConnectionStatus","DeviceID","Timestamp"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#000000717FC00000","2023-08-09 07:00:34"
"Numeric data processor","Numeric data processor","OK","ACPI\PNP0C04\4&36F1FB5D&0","2023-08-09 07:00:34"
"NDIS Virtual Network Adapter Enumerator","NDIS Virtual Network Adapter Enumerator","OK","ROOT\NDISVIRTUALBUS\0000","2023-08-09 07:00:34"
"HID-compliant mouse","HID-compliant mouse","OK","HID\VID_046D&PID_C534&MI_01&COL01\7&1C200D2C&0&0000","2023-08-09 07:00:34"
"Galaxy Buds2 (FBEC)","Bluetooth Device","OK","BTHENUM\DEV_388F30B6FBEC\7&38D62565&0&BLUETOOTHDEVICE_388F30B6FBEC","2023-08-09 07:00:34"
"Microphone Array (Realtek(R) Audio)","Audio Endpoint","OK","SWD\MMDEVAPI\{0.0.1.00000000}.{AB637AAC-3E55-4672-B8B2-067A3F16BF48}","2023-08-09 07:00:34"
"Realtek Gaming GbE Family Controller","Realtek Gaming GbE Family Controller","OK","PCI\VEN_10EC&DEV_8168&SUBSYS_13311025&REV_25\4&22691B71&0&00E8","2023-08-09 07:00:34"
"Intel(R) Serial IO GPIO Host Controller - INT3450","Intel(R) Serial IO GPIO Host Controller - INT3450","OK","ACPI\INT3450\3&11583659&0","2023-08-09 07:00:34"
"Khushaxx Hands-Free HF","Microsoft Bluetooth Hands-Free Profile Handsfree role","OK","BTHENUM\{0000111F-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"IBtUsb_Filter_00","IBtUsb_Filter_00","OK","{2F2B7B01-597A-434C-8DD6-D27CD46EF73C}\IBTUSBFILTER\6&102EBEE3&0&00","2023-08-09 07:00:34"
"I2C HID Device","I2C HID Device","OK","ACPI\SYNA7DB5\1","2023-08-09 07:00:34"
"Realtek Hardware Support Application","Realtek Hardware Support Application","OK","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKHSA&5&1244B4B0&0","2023-08-09 07:00:34"
"SMS/MMS","SMS/MMS","OK","BTHENUM\{00001132-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Galaxy Buds2 (FBEC) Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Airdopes 138 Hands-Free AG","Microsoft Bluetooth Hands-Free Profile AudioGateway role","OK","BTHENUM\{0000111E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&38D62565&0&C469608EF57B_C00000000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#0000000007500000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4B-50EF-11ED-A079-806E6F6E6963}#0000000000100000","2023-08-09 07:00:34"
"Microsoft System Management BIOS Driver","Microsoft System Management BIOS Driver","OK","ROOT\MSSMBIOS\0000","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\INT340E\2&DABA3FF&0","2023-08-09 07:00:34"
"Khushaxx Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"USB Root Hub (USB 3.0)","USB Root Hub (USB 3.0)","OK","USB\ROOT_HUB30\4&2F349BE3&0&0","2023-08-09 07:00:34"
"Object Push Service","Object Push Service","OK","BTHENUM\{00001105-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","OK","ACPI\PNP0C14\TBFP","2023-08-09 07:00:34"
"Sim Access Service","Sim Access Service","OK","BTHENUM\{0000112D-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Galaxy Buds2 (FBEC) Hands-Free","Microsoft Bluetooth Hands-Free Audio device","OK","BTHHFENUM\BTHHFPAUDIO\8&210BA384&0&97","2023-08-09 07:00:34"
"Plug and Play Software Device Enumerator","Plug and Play Software Device Enumerator","OK","ROOT\SYSTEM\0000","2023-08-09 07:00:34"
"ACPI Lid","ACPI Lid","OK","ACPI\PNP0C0D\4&36F1FB5D&0","2023-08-09 07:00:34"
"PCI standard RAM Controller","PCI standard RAM Controller","OK","PCI\VEN_8086&DEV_A36F&SUBSYS_13311025&REV_10\3&11583659&0&A2","2023-08-09 07:00:34"
"Khushaxx","Bluetooth Device","OK","BTHENUM\DEV_0CEC8D450534\7&38D62565&0&BLUETOOTHDEVICE_0CEC8D450534","2023-08-09 07:00:34"
"Remote Desktop Device Redirector Bus","Remote Desktop Device Redirector Bus","OK","ROOT\RDPBUS\0000","2023-08-09 07:00:34"
"Intel(R) SPI (flash) Controller - A324","Intel(R) SPI (flash) Controller - A324","OK","PCI\VEN_8086&DEV_A324&SUBSYS_13311025&REV_10\3&11583659&0&FD","2023-08-09 07:00:34"
"Speakers (Realtek(R) Audio)","Audio Endpoint","OK","SWD\MMDEVAPI\{0.0.0.00000000}.{A738E481-2EE6-42CE-8E3B-EC17E894E985}","2023-08-09 07:00:34"
"Intel(R) Graphics Control Panel","Intel(R) Graphics Control Panel","OK","SWD\DRIVERENUM\CUI&4&768CA29&0","2023-08-09 07:00:34"
"WAN Miniport (IPv6)","WAN Miniport (IPv6)","OK","SWD\MSRRAS\MS_NDISWANIPV6","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#000000E8A0BB6000","2023-08-09 07:00:34"
"WAN Miniport (L2TP)","WAN Miniport (L2TP)","OK","SWD\MSRRAS\MS_L2TPMINIPORT","2023-08-09 07:00:34"
